symbol,famtyp,ipoage,firmage,assets,famstyle,ceoname,ceo_fam,beceo,tenure,ceopattern,duality,ceo_own,ins_own,secfifshare,firstshare,control_own,power_dev
2064,3,13,20,16974610098,1,æ½__ç¡,nofamily,2012,7,1,0,0,56.0723,25.360001,52.07,50.733299,0.82709998
2065,3,13,17,16835002423,1,__³¢,nofamily,2004,15,1,0,0.2,46.1469,23.68,20.41,37.160702,0.88059998
2067,1,13,18,5660155867,1,____,nofamily,2011,8,1,0,0.20999999,0.64219999,3.0899999,16.040001,16.040001,1
2071,3,13,18,1361755435,2,_¡æ__,nofamily,2017,2,1,0,0,44.283501,12.79,35.299999,35.299999,1
2073,1,13,19,8013798411,1,å®___,nofamily,2019,0,1,0,0,15.2323,8.8699999,15.56,16.111,0.9982
2074,3,13,21,25170447069,2,___,family,2015,4,0,1,11.86,36.002899,19.68,24.84,34.4034,0.87760001
2075,3,13,20,11513008886,2,___,nofamily,2014,5,0,0,0,30.750799,18.290001,26.639999,10.165,0.38159999
2076,3,13,15,668379761.5,1,_´å_,family,2015,4,1,0,0.25,1.2224,15.82,27.309999,27.559999,1
2078,3,13,19,32295172411,1,__´ªä¿,family,2006,13,1,1,0.01,71.287201,8.4200001,47.66,32.408798,0.68000001
2079,1,13,29,2243800974,1,___,nofamily,2019,0,1,0,0,39.422001,5.8800001,34.279999,31.047701,0.90280002
2081,3,13,26,39473391655,1,_¹é__,nofamily,2019,0,1,0,0.12,61.5117,30.65,24.389999,42.3927,0.86870003
2082,3,13,20,3800535720,1,èµµå__,family,2017,2,0,1,0,24.838699,11.52,18.879999,18.879999,1
2083,3,13,17,10072582473,1,_´æ__,nofamily,2012,7,1,0,0.15000001,37.127201,12.35,23.68,12.8572,0.4765
2084,3,13,16,3022361321,1,___æ³,nofamily,2014,5,1,0,0.079999998,57.1632,22.700001,27.09,25.198601,0.74180001
2085,3,13,18,13988933547,1,_£ç_å¹,nofamily,2016,3,0,0,0,71.198402,17.33,46.18,35.444199,0.69209999
2086,3,13,18,3748011898,1,è½¦è½¼,family,2013,6,1,1,1.6,41.5774,19.67,25.389999,14.3096,0.51999998
2088,2,13,27,3084140580,2,é¹¿è_,nofamily,2016,3,1,0,0.46000001,40.908901,21.01,28.139999,,
2089,3,13,22,2551336897,1,å¼_º¦_,family,2010,9,1,1,18.049999,6.23,20.559999,18.049999,34.509998,1
2090,2,13,24,3692359967,1,__,nofamily,2019,0,0,0,0.69999999,43.861099,5.1999998,36.720001,16.3687,0.43340001
2093,3,13,19,4373640033,1,___,nofamily,2014,5,1,0,0.34,11.8116,35.240002,21.9,51.8321,0.94880003
2094,3,13,22,5550500570,1,___,nofamily,2012,7,0,0,0.039999999,43.302299,15.7,21.41,8.4399996,0.32339999
2095,3,13,16,1595345884,1,å­_¾·_,family,2003,16,1,1,0,55.303299,8.9099998,46.77,32.8419,0.7022
2098,1,13,27,2043682157,2,_½æ__,nofamily,2015,4,1,0,0,55.725899,33.900002,25,24.975,0.99900001
2099,3,13,15,6747198664,2,_¨æ__,nofamily,2015,4,1,0,0.30000001,42.782101,12.62,34.220001,41.560001,1
2102,3,13,17,8200469747,1,å§___,nofamily,2019,0,0,0,0,16.59,24.5,11.66,20.879999,1
2103,3,12,18,1907526690,1,___å¹,family,2004,15,1,0,5.02,14.5372,28.209999,22.540001,26.445,0.89340001
2104,3,12,23,2349715249,1,_±äº¬,family,2017,2,1,1,20.65,3.3074999,4.6500001,20.65,20.65,1
2105,3,12,16,1641675826,1,å»_æ¹,family,2006,13,1,0,0,51.129799,8.6999998,41.93,11.9581,0.2852
2107,1,12,16,1008021814,1,_¾è_å§,nofamily,2019,0,1,0,0,50.328499,5.46,50.27,40.216,0.80000001
